datetime,high
2019-08-28,10280.71
2019-08-29,9720.2
2019-08-30,9700.0
2019-08-31,9682.73
2019-09-01,9832.0
2019-09-02,10471.0
2019-09-03,10783.0
2019-09-04,10834.15
2019-09-05,10664.13
2019-09-06,10949.0
2019-09-07,10580.0
2019-09-08,10594.88
2019-09-09,10542.93
2019-09-10,10390.09
2019-09-11,10243.01
2019-09-12,10465.0
2019-09-13,10458.13
2019-09-14,10441.47
2019-09-15,10383.2
2019-09-16,10378.07
2019-09-17,10280.53
2019-09-18,10263.65
2019-09-19,10380.07
2019-09-20,10308.04
2019-09-21,10180.43
2019-09-22,10093.24
2019-09-23,10048.06
2019-09-24,9782.0
2019-09-25,8746.83
2019-09-26,8467.89
2019-09-27,8294.04
2019-09-28,8356.4
2019-09-29,8244.07
2019-09-30,8368.5
2019-10-01,8531.25
2019-10-02,8393.39
2019-10-03,8419.23
2019-10-04,8244.93
2019-10-05,8195.0
2019-10-06,8176.46
2019-10-07,8313.7
2019-10-08,8344.12
2019-10-09,8707.8
2019-10-10,8666.84
2019-10-11,8820.0
2019-10-12,8427.76
2019-10-13,8474.48
2019-10-14,8416.67
2019-10-15,8420.85
2019-10-16,8179.1
2019-10-17,8130.71
2019-10-18,8120.77
2019-10-19,8096.76
2019-10-20,8314.77
2019-10-21,8352.0
2019-10-22,8314.77
2019-10-23,8052.04
2019-10-24,7512.0
2019-10-25,8784.29
2019-10-26,10350.0
2019-10-27,9819.92
2019-10-28,9950.0
2019-10-29,9573.35
2019-10-30,9437.06
2019-10-31,9438.61
2019-11-01,9303.53
2019-11-02,9396.91
2019-11-03,9384.32
2019-11-04,9586.5
2019-11-05,9485.0
2019-11-06,9448.19
2019-11-07,9373.48
2019-11-08,9253.39
2019-11-09,8876.94
2019-11-10,9142.33
2019-11-11,9075.32
2019-11-12,8872.47
2019-11-13,8839.46
2019-11-14,8791.78
2019-11-15,8799.03
2019-11-16,8539.53
2019-11-17,8631.6
2019-11-18,8508.4
2019-11-19,8197.77
2019-11-20,8231.04
2019-11-21,8116.92
2019-11-22,7714.7
2019-11-23,7356.49
2019-11-24,7349.68
2019-11-25,7380.0
2019-11-26,7344.91
2019-11-27,7676.27
2019-11-28,7659.92
2019-11-29,7870.35
2019-11-30,7815.0
2019-12-01,7560.2
2019-12-02,7431.07
2019-12-03,7415.0
2019-12-04,7772.71
2019-12-05,7500.0
2019-12-06,7618.99
2019-12-07,7638.88
2019-12-08,7580.0
2019-12-09,7666.0
2019-12-10,7400.0
2019-12-11,7271.0
2019-12-12,7296.19
2019-12-13,7302.35
2019-12-14,7269.0
2019-12-15,7225.23
2019-12-16,7147.91
2019-12-17,6938.77
2019-12-18,7449.68
2019-12-19,7372.12
2019-12-20,7218.11
2019-12-21,7194.13
2019-12-22,7530.0
2019-12-23,7692.98
2019-12-24,7431.1
2019-12-25,7266.81
2019-12-26,7432.0
2019-12-27,7255.37
2019-12-28,7349.65
2019-12-29,7524.46
2019-12-30,7385.54
2019-12-31,7302.35
2020-01-01,7237.35
2020-01-02,7184.94
2020-01-03,7402.31
2020-01-04,7396.1
2020-01-05,7495.0
2020-01-06,7817.0
2020-01-07,8220.0
2020-01-08,8463.57
2020-01-09,8048.94
2020-01-10,8200.0
2020-01-11,8286.0
2020-01-12,8190.0
2020-01-13,8196.81
2020-01-14,8895.0
2020-01-15,8903.2
2020-01-16,8852.35
2020-01-17,9015.22
2020-01-18,9000.1
2020-01-19,9188.1
2020-01-20,8740.54
2020-01-21,8778.66
2020-01-22,8792.98
2020-01-23,8665.95
2020-01-24,8530.7
2020-01-25,8437.47
2020-01-26,8600.0
2020-01-27,9004.35
2020-01-28,9413.24
2020-01-29,9443.96
2020-01-30,9570.0
2020-01-31,9529.35
2020-02-01,9464.16
2020-02-02,9474.28
2020-02-03,9615.0
2020-02-04,9348.6
2020-02-05,9775.0
2020-02-06,9859.57
2020-02-07,9878.0
2020-02-08,9948.97
2020-02-09,10178.54
